Parent,Child,value,link_string,feat_mean,feat_std,feat_min,feat_max,feat_median
hemoglobin,gender,965.0,"hemoglobin', 'gender",9.549215844151384,2.5321599354227944,6.112439731603013,12.951737352310364,8.181685314280626
gender,rbc,965.0,"gender', 'rbc",33.1,66.9,,,
rbc,segmented_neutrophils,1510.0,"rbc', 'segmented_neutrophils",2.9053599527101017,0.5555543057331863,1.7290824694132143,3.852785333080864,2.937771704616054
segmented_neutrophils,Unspecified anemia,1280.0,"segmented_neutrophils', 'Unspecified anemia",0.0,0.0,0.0,0.0,0.0
rbc,mcv,259.0,"rbc', 'mcv",2.326682185377257,0.5186291782332365,1.7599560325840045,3.518736063648173,2.1674745090289
mcv,segmented_neutrophils,259.0,"mcv', 'segmented_neutrophils",102.91257820298652,1.2858874052062939,100.3344388192112,104.99080323148571,103.1362304669708
hemoglobin,rbc,804.0,"hemoglobin', 'rbc",9.733520676199312,1.0396534036386937,6.005435017741712,11.312068223456528,9.803521838573417
segmented_neutrophils,mcv,470.0,"segmented_neutrophils', 'mcv",0.00042835483713502383,0.006559620023065211,0.0,0.1011242586747954,0.0
mcv,Unspecified anemia,390.0,"mcv', 'Unspecified anemia",103.86036510516428,0.6130101178800935,102.6176158743298,104.9968204278465,103.83034798703186
segmented_neutrophils,gender,18.0,"segmented_neutrophils', 'gender",0.0,0.0,0.0,0.0,0.0
gender,Unspecified anemia,18.0,"gender', 'Unspecified anemia",55.6,44.4,,,
mcv,hematocrit,79.0,"mcv', 'hematocrit",104.30020218065566,0.6001964414563431,100.90293090240408,104.99526722292543,104.42815237644976
hematocrit,Unspecified anemia,79.0,"hematocrit', 'Unspecified anemia",28.12411634101737,1.136593956334987,25.94117824302144,33.90686621247309,27.8965867496291
segmented_neutrophils,cholestrol,1.0,"segmented_neutrophils', 'cholestrol",0.1258051064996603,,0.1258051064996603,0.1258051064996603,0.1258051064996603
cholestrol,Unspecified anemia,2.0,"cholestrol', 'Unspecified anemia",95.23889761269253,2.811350555001608,93.25097257095833,97.22682265442673,95.23889761269253
mcv,cholestrol,1.0,"mcv', 'cholestrol",101.86366111374927,,101.86366111374927,101.86366111374927,101.86366111374927
hemoglobin,,,,,,,,
,Unspecified anemia,,,,,,,
